ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
7117395,HR526221,09/08/2009 04:18:00 PM,071XX S PRINCETON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,true,0731,007,6,69,08B,1175527,1857715,2009,02/28/2018 03:56:25 PM,41.764941298,-87.63220103,"(41.764941298, -87.63220103)"
7117397,HR526757,09/08/2009 09:05:00 PM,075XX S RACINE AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),PARKING LOT/GARAGE(NON.RESID.),true,false,0612,006,17,71,18,1169630,1854678,2009,02/28/2018 03:56:25 PM,41.756737247,-87.653903114,"(41.756737247, -87.653903114)"
7117399,HR526733,09/08/2009 09:17:00 PM,068XX S THROOP ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0724,007,17,67,18,1168841,1859317,2009,02/28/2018 03:56:25 PM,41.76948433,-87.656660917,"(41.76948433, -87.656660917)"
7117400,HR526458,09/08/2009 06:00:00 AM,089XX S PRAIRIE AVE,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,false,false,0633,006,6,44,06,1179598,1845824,2009,02/28/2018 03:56:25 PM,41.732219007,-87.617642274,"(41.732219007, -87.617642274)"
7117402,HR526793,09/08/2009 09:27:00 PM,024XX W 50TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,ALLEY,true,false,0911,009,14,63,15,1160764,1871450,2009,02/28/2018 03:56:25 PM,41.802949488,-87.68593279,"(41.802949488, -87.68593279)"
7117403,HR526896,09/08/2009 10:00:00 PM,0000X N MASON AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1513,015,29,25,07,1136773,1899652,2009,02/28/2018 03:56:25 PM,41.880802263,-87.773245737,"(41.880802263, -87.773245737)"
7117404,HR526834,09/08/2009 09:50:00 AM,008XX W BELDEN AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,1812,018,43,7,05,1170119,1915494,2009,02/28/2018 03:56:25 PM,41.923611219,-87.650338678,"(41.923611219, -87.650338678)"
7117405,HR526807,09/08/2009 09:20:00 PM,007XX E 63RD ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0313,003,20,42,18,1182058,1863393,2009,02/28/2018 03:56:25 PM,41.780373703,-87.608087748,"(41.780373703, -87.608087748)"
7117406,HR526899,09/08/2009 11:04:00 PM,043XX W MAYPOLE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,1114,011,28,26,18,1147445,1901102,2009,02/28/2018 03:56:25 PM,41.884583424,-87.734021354,"(41.884583424, -87.734021354)"
7117407,HR526844,09/08/2009 10:30:00 PM,095XX S BISHOP ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,2213,022,21,73,18,1168354,1841420,2009,02/28/2018 03:56:25 PM,41.720382956,-87.658960167,"(41.720382956, -87.658960167)"
7117408,HR526903,09/08/2009 10:55:00 PM,059XX S MORGAN ST,0560,ASSAULT,SIMPLE,GAS STATION,false,false,0712,007,16,68,08A,1170659,1865532,2009,02/28/2018 03:56:25 PM,41.786499587,-87.649815884,"(41.786499587, -87.649815884)"
7117409,HR526889,09/08/2009 10:45:00 PM,044XX N DRAKE AVE,0460,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,true,false,1723,017,33,14,08B,1151925,1929226,2009,02/28/2018 03:56:25 PM,41.961671072,-87.71682756,"(41.961671072, -87.71682756)"
